Name,Href
"Audi A6 3,0 TDi Avant quattro Tiptr. 5d",https://www.bilbasen.dk/brugt/bil/audi/a6/30-tdi-avant-quattro-tiptr-5d/5254548
"Skoda Fabia 1,0 TSi 95 Ambition 5d",https://www.bilbasen.dk/brugt/bil/skoda/fabia/10-tsi-95-ambition-5d/5289510
"Peugeot 5008 2,0 BlueHDi 177 GT EAT8 5d",https://www.bilbasen.dk/brugt/bil/peugeot/5008/20-bluehdi-177-gt-eat8-5d/5275081
"Mercedes GLC350 e 2,0 aut. 4Matic 5d",https://www.bilbasen.dk/brugt/bil/mercedes/glc350-e/20-aut-4matic-5d/5275070
"BMW 550i 4,4 xDrive aut. 4d",https://www.bilbasen.dk/brugt/bil/bmw/550i/44-xdrive-aut-4d/5282360
"Renault Clio IV 0,9 TCe 90 Expression Sport Tourer 5d",https://www.bilbasen.dk/brugt/bil/renault/clio-iv/09-tce-90-expression-sport-tourer-5d/5267954
"BMW 520d 2,0 Touring aut. 5d",https://www.bilbasen.dk/brugt/bil/bmw/520d/20-touring-aut-5d/5282329
"Nissan Qashqai 1,2 Dig-T 115 Acenta 5d",https://www.bilbasen.dk/brugt/bil/nissan/qashqai/12-dig-t-115-acenta-5d/5260902
"Renault Twingo 1,2 16V Expression 3d",https://www.bilbasen.dk/brugt/bil/renault/twingo/12-16v-expression-3d/5216725
"Jaguar XJ6 4,2  4d",https://www.bilbasen.dk/brugt/bil/jaguar/xj6/42-4d/5289401
"Fiat Panda 1,4 16V 5d",https://www.bilbasen.dk/brugt/bil/fiat/panda/14-16v-5d/5282261
Audi A3 35 TDi Sport Limited Sportback S-tr. 5d,https://www.bilbasen.dk/brugt/bil/audi/a3/35-tdi-sport-limited-sportback-s-tr-5d/5289312
"Mercedes ML350 3,0 BlueTEC AMG Line aut. 4Matic 5d",https://www.bilbasen.dk/brugt/bil/mercedes/ml350/30-bluetec-amg-line-aut-4matic-5d/5274935
"Volvo V60 2,0 D3 163 Summum aut. 5d",https://www.bilbasen.dk/brugt/bil/volvo/v60/20-d3-163-summum-aut-5d/5274880
"Mercedes C220 2,2 CDi Elegance stc. aut. BE 5d",https://www.bilbasen.dk/brugt/bil/mercedes/c220/22-cdi-elegance-stc-aut-be-5d/5274870
"VW Golf VII 1,4 TSi 150 R-line DSG BMT 5d",https://www.bilbasen.dk/brugt/bil/vw/golf-vii/14-tsi-150-r-line-dsg-bmt-5d/5274842
"VW Polo 1,4 TSi 150 BlueGT 5d",https://www.bilbasen.dk/brugt/bil/vw/polo/14-tsi-150-bluegt-5d/5274829
Tesla Model 3  Standard Range+ RWD 4d,https://www.bilbasen.dk/brugt/bil/tesla/model-3/standard-range-rwd-4d/5282068
"VW Passat 2,0 TDi 140 Comfortline Variant BMT 5d",https://www.bilbasen.dk/brugt/bil/vw/passat/20-tdi-140-comfortline-variant-bmt-5d/5274802
"Mini Clubman Cooper 1,6  5d",https://www.bilbasen.dk/brugt/bil/mini/clubman-cooper/16-5d/5246725
"Alfa Romeo Spider 2,4 JTDm 20V 2d",https://www.bilbasen.dk/brugt/bil/alfa-romeo/spider/24-jtdm-20v-2d/5274782
"VW Up! 1,0 60 Take Up! BMT 3d",https://www.bilbasen.dk/brugt/bil/vw/up/10-60-take-up-bmt-3d/5289162
"VW Golf III 1,8 CL 5d",https://www.bilbasen.dk/brugt/bil/vw/golf-iii/18-cl-5d/5118370
