Name,Elements,Specification,DealerContact,PrivateContact
"Audi A6 3,0 TDi Avant quattro Tiptr. 5d","['65.000', '240.000', '11,8', '3/2006', '-/-', '2006']","[            Specifications      Showing_car Your_car
0                   Nypris       883.281 kr      [-]
1                    HK/Nm  225 hk / 450 Nm  [- / -]
2             0 - 100 km/t          7,6 sek      [-]
3             Tophastighed         240 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        11,8 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                -      [-]
8            CO2 udledning                -       []
9                   Bredde           186 cm      [-]
10                  Længde           493 cm      [-]
11                   Højde           146 cm      [-]
12               Lasteevne           630 kg      [-]
13                Trækhjul             Alle      [-]
14                Cylindre                6      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse             0 kg      [-]
17                 Airbags                6      [-]
18                     ESP                -      [-]
19                    Tank             80 l      [-]
20                    Gear           6 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1825 kg      [-]
23                    Døre                5      [-]]",[],['tel:40117035']
"Skoda Fabia 1,0 TSi 95 Ambition 5d","['134.900', '26.000', '23,9', '4/2019', '-/-', '2019']","[            Specifications     Showing_car Your_car
0                   Nypris      153.021 kr      [-]
1                    HK/Nm  95 hk / 160 Nm  [- / -]
2             0 - 100 km/t        10,8 sek      [-]
3             Tophastighed        184 km/t      [-]
4               Drivmiddel          Benzin      [-]
5           Forbrug (NEDC)       23,9 km/l      [-]
6           Forbrug (WLTP)                      [-]
7                 Euronorm               6      [-]
8            CO2 udledning        106 g/km       []
9                   Bredde          173 cm      [-]
10                  Længde          400 cm      [-]
11                   Højde          147 cm      [-]
12               Lasteevne          455 kg      [-]
13                Trækhjul         Forhjul      [-]
14                Cylindre               3      [-]
15             ABS-bremser              Ja      [-]
16  Max. trækvægt m/bremse        1.000 kg      [-]
17                 Airbags               6      [-]
18                     ESP              Ja      [-]
19                    Tank            45 l      [-]
20                    Gear          5 gear      [-]
21                Geartype          Manuel      [-]
22                    Vægt         1121 kg      [-]
23                    Døre               5      [-]]",[],['tel:27482546']
"Peugeot 5008 2,0 BlueHDi 177 GT EAT8 5d","['410.000', '88.000', '22,4', '7/2019', '-/-', '2019']","[            Specifications      Showing_car Your_car
0                   Nypris       499.010 kr      [-]
1                    HK/Nm  177 hk / 400 Nm  [- / -]
2             0 - 100 km/t          9,2 sek      [-]
3             Tophastighed         208 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        22,4 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning         129 g/km       []
9                   Bredde           191 cm      [-]
10                  Længde           464 cm      [-]
11                   Højde           165 cm      [-]
12               Lasteevne           673 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.800 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             53 l      [-]
20                    Gear           8 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1557 kg      [-]
23                    Døre                5      [-]]",[],['tel:30203217']
"Mercedes GLC350 e 2,0 aut. 4Matic 5d","['460.000', '86.000', '24,9', '11/2016', '-/-', '2016']","[            Specifications           Showing_car Your_car
0                   Nypris            667.020 kr      [-]
1                    HK/Nm       320 hk / 560 Nm  [- / -]
2             0 - 100 km/t               5,9 sek      [-]
3             Tophastighed              235 km/t      [-]
4               Drivmiddel  Hybrid (Benzin + El)      [-]
5           Forbrug (NEDC)             24,9 km/l      [-]
6           Forbrug (WLTP)                            [-]
7                 Euronorm                     6      [-]
8            CO2 udledning               59 g/km       []
9                   Bredde                189 cm      [-]
10                  Længde                466 cm      [-]
11                   Højde                164 cm      [-]
12               Lasteevne                580 kg      [-]
13                Trækhjul                  Alle      [-]
14                Cylindre                     4      [-]
15             ABS-bremser                    Ja      [-]
16  Max. trækvægt m/bremse              2.000 kg      [-]
17                 Airbags                     7      [-]
18                     ESP                    Ja      [-]
19                    Tank                  50 l      [-]
20                    Gear                7 gear      [-]
21                Geartype            Automatisk      [-]
22                    Vægt               2025 kg      [-]
23                    Døre                     5      [-]]",[],['tel:92450695']
"BMW 550i 4,4 xDrive aut. 4d","['298.888', '241.000', '9,1', '3/2011', '-/-', '2011']","[            Specifications      Showing_car Your_car
0                   Nypris     1.405.997 kr      [-]
1                    HK/Nm  407 hk / 600 Nm  [- / -]
2             0 - 100 km/t          4,8 sek      [-]
3             Tophastighed         250 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)         9,1 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                5      [-]
8            CO2 udledning                -       []
9                   Bredde           186 cm      [-]
10                  Længde           490 cm      [-]
11                   Højde           146 cm      [-]
12               Lasteevne           625 kg      [-]
13                Trækhjul             Alle      [-]
14                Cylindre                8      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         2.000 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             70 l      [-]
20                    Gear           8 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1875 kg      [-]
23                    Døre                4      [-]]",[],['tel:22510788']
"Renault Clio IV 0,9 TCe 90 Expression Sport Tourer 5d","['75.900', '68.000', '22,2', '11/2014', '-/-', '2014']","[            Specifications     Showing_car Your_car
0                   Nypris      181.898 kr      [-]
1                    HK/Nm  90 hk / 135 Nm  [- / -]
2             0 - 100 km/t        12,2 sek      [-]
3             Tophastighed        185 km/t      [-]
4               Drivmiddel          Benzin      [-]
5           Forbrug (NEDC)       22,2 km/l      [-]
6           Forbrug (WLTP)                      [-]
7                 Euronorm               -      [-]
8            CO2 udledning        104 g/km       []
9                   Bredde          173 cm      [-]
10                  Længde          427 cm      [-]
11                   Højde          145 cm      [-]
12               Lasteevne          620 kg      [-]
13                Trækhjul         Forhjul      [-]
14                Cylindre               3      [-]
15             ABS-bremser              Ja      [-]
16  Max. trækvægt m/bremse        1.200 kg      [-]
17                 Airbags               4      [-]
18                     ESP              Ja      [-]
19                    Tank            45 l      [-]
20                    Gear          5 gear      [-]
21                Geartype          Manuel      [-]
22                    Vægt         1020 kg      [-]
23                    Døre               5      [-]]",[],['tel:21854900']
"BMW 520d 2,0 Touring aut. 5d","['198.000', '234.000', '19,7', '12/2013', '-/-', '2013']","[            Specifications      Showing_car Your_car
0                   Nypris       794.107 kr      [-]
1                    HK/Nm  184 hk / 380 Nm  [- / -]
2             0 - 100 km/t          8,3 sek      [-]
3             Tophastighed         220 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        19,7 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning                -       []
9                   Bredde           186 cm      [-]
10                  Længde           491 cm      [-]
11                   Højde           146 cm      [-]
12               Lasteevne           675 kg      [-]
13                Trækhjul          Baghjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         2.000 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             70 l      [-]
20                    Gear           8 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1690 kg      [-]
23                    Døre                5      [-]]",[],['tel:20724824']
"Nissan Qashqai 1,2 Dig-T 115 Acenta 5d","['125.000', '112.000', '17,9', '12/2014', '-/-', '2014']","[            Specifications      Showing_car Your_car
0                   Nypris       289.900 kr      [-]
1                    HK/Nm  115 hk / 190 Nm  [- / -]
2             0 - 100 km/t         11,3 sek      [-]
3             Tophastighed         183 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)        17,9 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                5      [-]
8            CO2 udledning         129 g/km       []
9                   Bredde           181 cm      [-]
10                  Længde           438 cm      [-]
11                   Højde           159 cm      [-]
12               Lasteevne           610 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.200 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             55 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt          1250 kg      [-]
23                    Døre                5      [-]]",[],['tel:28969466']
"Renault Twingo 1,2 16V Expression 3d","['27.500', '210.000', '22,2', '5/2013', '-/-', '2013']","[            Specifications     Showing_car Your_car
0                   Nypris               -      [-]
1                    HK/Nm  76 hk / 107 Nm  [- / -]
2             0 - 100 km/t        12,3 sek      [-]
3             Tophastighed        170 km/t      [-]
4               Drivmiddel          Benzin      [-]
5           Forbrug (NEDC)       22,2 km/l      [-]
6           Forbrug (WLTP)                      [-]
7                 Euronorm               5      [-]
8            CO2 udledning        105 g/km       []
9                   Bredde          165 cm      [-]
10                  Længde          369 cm      [-]
11                   Højde          147 cm      [-]
12               Lasteevne          521 kg      [-]
13                Trækhjul         Forhjul      [-]
14                Cylindre               4      [-]
15             ABS-bremser              Ja      [-]
16  Max. trækvægt m/bremse          550 kg      [-]
17                 Airbags               6      [-]
18                     ESP              Ja      [-]
19                    Tank            40 l      [-]
20                    Gear          5 gear      [-]
21                Geartype          Manuel      [-]
22                    Vægt          839 kg      [-]
23                    Døre               3      [-]]",[],['tel:42488480']
"Jaguar XJ6 4,2  4d","['79.000', '145.000', '7,8', '8/1979', '-/-', '1979']","[            Specifications Showing_car Your_car
0                   Nypris           -      [-]
1                    HK/Nm       - / -  [- / -]
2             0 - 100 km/t           -      [-]
3             Tophastighed           -      [-]
4               Drivmiddel      Benzin      [-]
5           Forbrug (NEDC)    7,8 km/l      [-]
6           Forbrug (WLTP)                  [-]
7                 Euronorm           -      [-]
8            CO2 udledning           -       []
9                   Bredde           -      [-]
10                  Længde           -      [-]
11                   Højde           -      [-]
12               Lasteevne           -      [-]
13                Trækhjul     Baghjul      [-]
14                Cylindre           -      [-]
15             ABS-bremser           -      [-]
16  Max. trækvægt m/bremse           -      [-]
17                 Airbags           -      [-]
18                     ESP           -      [-]
19                    Tank           -      [-]
20                    Gear           -      [-]
21                Geartype      Manuel      [-]
22                    Vægt           -      [-]
23                    Døre           4      [-]]",[],['tel:60133446']
"Fiat Panda 1,4 16V 5d","['32.000', '234.000', '15,4', '7/2008', '-/-', '2008']","[            Specifications      Showing_car Your_car
0                   Nypris       174.990 kr      [-]
1                    HK/Nm  100 hk / 131 Nm  [- / -]
2             0 - 100 km/t          9,5 sek      [-]
3             Tophastighed         185 km/t      [-]
4               Drivmiddel           Benzin      [-]
5           Forbrug (NEDC)        15,4 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                -      [-]
8            CO2 udledning                -       []
9                   Bredde           159 cm      [-]
10                  Længde           354 cm      [-]
11                   Højde           158 cm      [-]
12               Lasteevne           396 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse           800 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             35 l      [-]
20                    Gear           6 gear      [-]
21                Geartype           Manuel      [-]
22                    Vægt           969 kg      [-]
23                    Døre                5      [-]]",[],['tel:30281464']
Audi A3 35 TDi Sport Limited Sportback S-tr. 5d,"['295.000', '81.000', '24,4', '8/2019', '-/-', '2020']","[            Specifications      Showing_car Your_car
0                   Nypris       321.012 kr      [-]
1                    HK/Nm  150 hk / 340 Nm  [- / -]
2             0 - 100 km/t          8,1 sek      [-]
3             Tophastighed         218 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        24,4 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning         117 g/km       []
9                   Bredde           179 cm      [-]
10                  Længde           431 cm      [-]
11                   Højde           143 cm      [-]
12               Lasteevne           565 kg      [-]
13                Trækhjul          Forhjul      [-]
14                Cylindre                4      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         1.600 kg      [-]
17                 Airbags                6      [-]
18                     ESP               Ja      [-]
19                    Tank             50 l      [-]
20                    Gear           7 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          1315 kg      [-]
23                    Døre                5      [-]]",[],['tel:92450736']
"Mercedes ML350 3,0 BlueTEC AMG Line aut. 4Matic 5d","['389.000', '145.000', '13,5', '3/2013', '-/-', '2013']","[            Specifications      Showing_car Your_car
0                   Nypris                -      [-]
1                    HK/Nm  258 hk / 620 Nm  [- / -]
2             0 - 100 km/t          7,4 sek      [-]
3             Tophastighed         224 km/t      [-]
4               Drivmiddel           Diesel      [-]
5           Forbrug (NEDC)        13,5 km/l      [-]
6           Forbrug (WLTP)                       [-]
7                 Euronorm                6      [-]
8            CO2 udledning                -       []
9                   Bredde           193 cm      [-]
10                  Længde           480 cm      [-]
11                   Højde           180 cm      [-]
12               Lasteevne           775 kg      [-]
13                Trækhjul             Alle      [-]
14                Cylindre                6      [-]
15             ABS-bremser               Ja      [-]
16  Max. trækvægt m/bremse         3.500 kg      [-]
17                 Airbags                7      [-]
18                     ESP               Ja      [-]
19                    Tank             70 l      [-]
20                    Gear           7 gear      [-]
21                Geartype       Automatisk      [-]
22                    Vægt          2175 kg      [-]
23                    Døre                5      [-]]",[],['tel:21629160']
